surprised,:o,,,,
,startled,,,,
,,shocked,,,
,,dismayed,,,
,confused,,,,
,,disillusioned,,,
,,perplexed,🤯,,
,amazed,,,,
,,astonished,🤯,,
,,awe,,,
,excited,😀,,,
,,eager,,,
,,energetic,😄,,
happy,:),,,,
,playful,,,,
,,aroused,,,
,,cheeky,😆,🙃,😉
,content,,,,
,,free,,,
,,joyful,,,
,interested,🤔,,,
,,curious,,,
,,inquisitive,,,
,proud,,,,
,,successful,,,
,,confident,,,
,accepted,,,,
,,respected,,,
,,valued,,,
,powerful,,,,
,,courageous,,,
,,creative,,,
,peaceful,,,,
,,loving,🥰,,
,,thankful,,,
,trusting,,,,
,,sensitive,,,
,,intimate,,,
,optimistic,,,,
,,hopeful,,,
,,inspired,,,
sad,:(,,,,
,lonely,,,,
,,isolated,,,
,,abandoned,,,
,vulnerable,,,,
,,victimized,,,
,,fragile,,,
,despair,,,,
,,grief,,,
,,powerless,,,
,guilty,,,,
,,ashamed,,,
,,remorseful,,,
,depressed,,,,
,,empty,,,
,,inferior,,,
,hurt,,,,
,,disappointed,,,
,,embarrassed,,,
disgusted,,,,,
,repelled,,,,
,,hesitant,,,
,,horrified,,,
,awful,,,,
,,detestable,,,
,,nauseated,,,
,disappointed,,,,
,,revolted,,,
,,appaled,,,
,disapproving,,,,
,,embarrassed,,,
,,judgmental,,,
angry,😠,,,,
,critical,🤨,,,
,,dismissive,,,
,,skeptical,🤨,,
,distant,,,,
,,numb,,,
,,withdrawn,,,
,frustrated,🤬,,,
,,annoyed,,,
,,infuriated,,,
,aggressive,,,,
,,hostile,,,
,,provoked,,,
,mad,,,,
,,jealous,,,
,,furious,,,
,bitter,,,,
,,violated,,,
,,indignant,,,
,humiliated,,,,
,,ridiculed,,,
,,disrespected,,,
,let down,,,,
,,resentful,,,
,,betrayed,,,
fearful,,,,,
,threatened,,,,
,,exposed,,,
,,nervous,,,
,rejected,,,,
,,persecuted,,,
,,excluded,,,
,weak,,,,
,,insignificant,,,
,,worthless,,,
,insecure,,,,
,,inferior,,,
,,inadequate,,,
,anxious,,,,
,,worried,,,
,,overwhelmed,,,
,scared,,,,
,,frightened,,,
,,helpless,,,
bad,,,,,
,bored,,,,
,,indifferent,,,
,,apathetic,,,
,busy,,,,
,,pressured,,,
,,rushed,,,
,stressed,,,,
,,overwhelmed,,,
,,out of control,,,
,tired,,,,
,,sleepy,,,
,,unfocused,,,
